ID,Language_ID,Parameter_ID,Form,Segments,Comment,Contribution_ID,Glottocode_in_dataset,Language_name_in_dataset
basa1287-five,basa1287,five,cima,,,abvd,basa1287,Basay L04
basa1287-hand,basa1287,hand,cima,,,abvd,basa1287,Basay L04
keta1243-five,keta1243,five,Tsima,,,barlowpacific,keta1243,Ketanganan (Ketangapan?)
kava1241-five,kava1241,five,rima,,,abvd,kava1241,Kavalan LTs
kava1241-hand,kava1241,hand,rima,,,abvd,kava1241,Kavalan LTs
saki1247-five,saki1247,five,lima,,,chan2019,amis1246,"Sakizaya, Taiwan"
amis1246-five,amis1246,five,limaʔ,,,abvd,nata1254,Sakizaya
amis1246-hand,amis1246,hand,ʔulimaʔ,,,abvd,nata1254,Sakizaya
sira1267-five,sira1267,five,rima,,,abvd,sira1267,Siraya F69
sira1267-hand,sira1267,hand,rima,,,abvd,sira1267,Siraya UM (Utrecht Manuscript) dialect
sais1237-five,sais1237,five,ɭasəb,,,chan2019,sais1237,"Saisiyat, Taiwan"
sais1237-hand,sais1237,hand,imaʔ,,,abvd,sais1237,Saisiyat F69
kulo1237-five,kulo1237,five,xasəp,,,chan2019,kulo1237,"Pazeh, Taiwan"
kulo1237-hand,kulo1237,hand,rima,,,abvd,kulo1237,Pazih LTs (Auran)
atay1247-five,atay1247,five,aima,,,chan2019,atay1247,"Atayal, Taiwan"
atay1247-hand,atay1247,hand,qbaʔ,,,abvd,atay1247,Atayal - Squliq F69
taro1264-five,taro1264,five,rima,,,abvd,taro1264,Seediq L04 (Truku)
taro1264-hand,taro1264,hand,bawa,,,abvd,taro1264,Seediq L04 (Toda)
papo1239-five,papo1239,five,lima,,,abvd,papo1239,Papora Ts82
papo1239-hand,papo1239,hand,lima,,,abvd,papo1239,Papora Ts82
babu1240-five,babu1240,five,achab,,,abvd,babu1240,Favorlang OL03
babu1240-hand,babu1240,hand,lima,,,abvd,babu1240,Taokas Ts82
thao1240-five,thao1240,five,rima,,,chan2019,thao1240,"Thao, Taiwan"
thao1240-hand,thao1240,hand,rima,,,abvd,thao1240,Thao B96
bunu1267-five,bunu1267,five,'imaʔ,,,abvd,bunu1267,"Bunun F69, Southern"
bunu1267-hand,bunu1267,hand,imaʔ,,,abvd,bunu1267,"Bunun F69, Southern"
kana1286-five,kana1286,five,'lima,,,chan2019,kana1286,"Kanakanabu, Taiwan"
kana1286-hand,kana1286,hand,ramucu,,,abvd,kana1286,Kanakanabu L04
saar1237-five,saar1237,five,la-lima,,,chan2019,saar1237,"Saaroa (Lha'alua), Taiwan"
saar1237-hand,saar1237,hand,ramucu,,,abvd,saar1237,Saaroa L04
tsou1248-five,tsou1248,five,rimo,,,abvd,tsou1248,Tsou (Duhtu L04)
tsou1248-hand,tsou1248,hand,mucu,,,abvd,tsou1248,Tsou (Duhtu L04)
ruka1240-five,ruka1240,five,rima,,,abvd,ruka1240,Rukai (Maga L04)
ruka1240-hand,ruka1240,hand,arima,,,abvd,ruka1240,Rukai (Maga L04)
puyu1239-five,puyu1239,five,rima,,,abvd,puyu1239,Puyuma (Chihpen F69)
puyu1239-hand,puyu1239,hand,rima,,,abvd,puyu1239,Puyuma (Chihpen F69)
paiw1248-five,paiw1248,five,lima,,,abvd,paiw1248,Paiwan (Tjatjigel Egli)
paiw1248-hand,paiw1248,hand,lima,,,abvd,paiw1248,Paiwan (Tjatjigel Egli)
yami1254-five,yami1254,five,lima,,,abvd,yami1254,Yami
yami1254-hand,yami1254,hand,lima,,,abvd,yami1254,Yami
ivat1242-five,ivat1242,five,lima,,,abvd,ivat1242,Imorod
ivat1242-hand,ivat1242,hand,lima,,,abvd,ivat1242,Itbayat
ibat1238-five,ibat1238,five,dadima,,,abvd,babu1242,Babuyan
ibat1238-hand,ibat1238,hand,panorowan,,,abvd,babu1242,Babuyan
isna1241-five,isna1241,five,limmá,,,barlowpacific,isna1241,Isneg
isna1241-hand,isna1241,hand,ʔi:ma,,,abvd,isna1241,"Isneg, Dibagat-Kabugao-Isneg"
fair1238-five,fair1238,five,limá,,,barlowpacific,fair1238,Rizal Negrito
pamp1244-five,pamp1244,five,limaː,,,chan2019,pamp1244,"Pamplona Atta, Philippines"
pamp1244-hand,pamp1244,hand,lima:,,,abvd,pamp1244,"Atta, Pamplona"
pudt1235-five,pudt1235,five,limɑ́ʔ,,,barlowpacific,pudt1235,"San Jose, Pudtol"
mala1534-five,mala1534,five,lima,,,barlowpacific,mala1534,Malaweg
adas1235-five,adas1235,five,li'ma,,,chan2019,adas1235,"Adasen, Philippines"
iban1267-five,iban1267,five,lima,,,abvd,iban1267,Ibanag
iban1267-hand,iban1267,hand,lima,,,abvd,iban1267,Ibanag
gada1258-five,gada1258,five,limɑ,,,barlowpacific,gada1258,"Parasiles, Bontoc"
gadd1244-five,gadd1244,five,lima,,,abvd,gadd1244,Gaddang
gadd1244-hand,gadd1244,hand,langalay,,,abvd,gadd1244,Gaddang
cent2084-five,cent2084,five,lima,,,chan2019,cent2084,"Central Cagayan Agta, Philippines"
cent2084-hand,cent2084,hand,kʌmʌt,,,abvd,cent2084,Agta
itaw1240-five,itaw1240,five,lima,,,abvd,itaw1240,Malaweg
itaw1240-hand,itaw1240,hand,ima,,,abvd,itaw1240,Itawis
yoga1237-five,yoga1237,five,limá,,,abvd,yoga1237,Yogad
yoga1237-hand,yoga1237,hand,kamát,,,abvd,yoga1237,Yogad
dica1235-five,dica1235,five,limɑ,,,barlowpacific,dica1235,Agta - Dicamay
dupa1235-five,dupa1235,five,lima,,,abvd,dupa1235,Dupaningan Agta
dupa1235-hand,dupa1235,hand,kamat,,,abvd,dupa1235,Dupaningan Agta
casi1235-five,casi1235,five,limá,,,barlowpacific,casi1235,Casiguran Negrito
casi1235-hand,casi1235,hand,ka'mɨt,,,abvd,casi1235,"Dumagat, Casiguran"
agta1234-five,agta1234,five,limá,,,barlowpacific,agta1234,Kalinga
para1306-five,para1306,five,limma,,,chan2019,para1320,"Paranan, Philippines"
bino1237-five,bino1237,five,li'ma,,,abvd,bino1237,"Itneg, Binongan"
bino1237-hand,bino1237,hand,'ʔima,,,abvd,bino1237,"Itneg, Binongan"
inla1260-five,inla1260,five,limɑ,,,barlowpacific,inla1260,Inlaod Tinggian (Itneg)
lubu1243-five,lubu1243,five,li'ma,,,abvd,lubu1243,"Kalinga, Guinaang, Lubuagan Dialect"
lubu1243-hand,lubu1243,hand,'ʔima,,,abvd,lubu1243,"Kalinga, Guinaang, Lubuagan Dialect"
sout2908-five,sout2908,five,lima,,,abvd,sout2908,"Kalinga, Southern"
sout2908-hand,sout2908,hand,ima,,,abvd,sout2908,"Kalinga, Southern"
butb1235-five,butb1235,five,li'ma,,,chan2019,butb1235,"Butbut Kalinga, Philippines"
madu1248-five,madu1248,five,limɑ́,,,barlowpacific,madu1248,Madukayang Kalinga
lowe1412-five,lowe1412,five,lima,,,abvd,lowe1412,Kalinga (Minangali)
lowe1412-hand,lowe1412,hand,ima,,,abvd,lowe1412,Kalinga (Minangali)
masa1307-five,masa1307,five,limɑ,,,barlowpacific,masa1307,"Masadiit, Boliney, Abra"
moya1235-five,moya1235,five,ˈlimɑ,,,barlowpacific,moya1235,"Muyadan, Itneg"
limo1248-five,limo1248,five,limá,,,abvd,limo1248,"Kalinga, Limos"
limo1248-hand,limo1248,hand,íma,,,abvd,limo1248,"Kalinga, Limos"
maba1279-five,maba1279,five,lima,,,barlowpacific,maba1279,Mataragan (Mabaka)
bala1310-five,bala1310,five,le'ma,,,abvd,bala1310,Balangaw
bala1310-hand,bala1310,hand,'limʌ,,,abvd,bala1310,Balangaw
cent2292-five,cent2292,five,lima,,,abvd,cent2292,"Bontok, Eastern"
cent2292-hand,cent2292,hand,lima,,,abvd,cent2292,"Bontok, Eastern"
fina1242-five,fina1242,five,lima,,,barlowpacific,fina1242,Eastern Bontoc
kank1243-five,kank1243,five,lima,,,abvd,kank1243,Kankanaey
kank1243-hand,kank1243,hand,takkay,,,abvd,kank1243,Kankanaey
maen1235-five,maen1235,five,liˈmɑ,,,barlowpacific,maen1235,Maeng (Tubo)
nort2877-five,nort2877,five,li'ma,,,abvd,nort2877,"Kankanay, Northern"
nort2877-hand,nort2877,hand,lɨ'dɨng,,,abvd,nort2877,"Kankanay, Northern"
amga1235-five,amga1235,five,li'ma,,,abvd,amga1235,"Ifugao, Amganad"
amga1235-hand,amga1235,hand,taʔ'le,,,abvd,amga1235,"Ifugao, Amganad"
bata1298-five,bata1298,five,lima,,,abvd,bata1298,"Ifugao, Batad"
bata1298-hand,bata1298,hand,ngamay,,,abvd,bata1298,"Ifugao, Batad"
mayo1262-five,mayo1262,five,le'mə,,,chan2019,mayo1262,"Mayoyao Ifugao, Philippines"
tuwa1243-five,tuwa1243,five,'lima,,,chan2019,tuwa1243,"Tuwali Ifugao, Philippines"
isin1239-five,isin1239,five,limá,,,abvd,isin1239,Isinay (Dupax)
isin1239-hand,isin1239,hand,lima,,,abvd,isin1239,Isinay (Dupax)
ilon1239-five,ilon1239,five,tambiang,,,abvd,ilon1239,"Ilongot, Kakiduge:n"
ilon1239-hand,ilon1239,hand,gima,,,abvd,ilon1239,"Ilongot, Kakiduge:n"
iwak1237-five,iwak1237,five,limɑ,,,barlowpacific,iwak1237,I-wak (Labeng)
ibal1244-five,ibal1244,five,dima,,,abvd,ibal1244,Ibaloi
ibal1244-hand,ibal1244,hand,takdai,,,abvd,ibal1244,Ibaloi
ahin1234-five,ahin1234,five,lima,,,barlowpacific,ahin1234,"Kallahan, Kayapa Proper"
ahin1234-hand,ahin1234,hand,taklay,,,abvd,kaya1320,"Kallahan, Kayapa Proper"
kele1259-five,kele1259,five,limaʔ,,,abvd,kele1259,"Kallahan, Keleyqiq"
kele1259-hand,kele1259,hand,taklay,,,abvd,kele1259,"Kallahan, Keleyqiq"
kara1487-five,kara1487,five,dima,,,chan2019,kara1487,"Karao, Luzon, Philippines"
pang1290-five,pang1290,five,lima,,,barlowpacific,pang1290,Pangasinan
pang1290-hand,pang1290,hand,lima,,,abvd,pang1290,Pangasinan
nort2875-five,nort2875,five,limma,,,chan2019,nort2875,"Northern Alta, Philippines"
sout2905-five,sout2905,five,li'ma,,,chan2019,sout2905,"Southern Alta, Philippines"
arta1239-five,arta1239,five,lima,,,abvd,arta1239,Arta
arta1239-hand,arta1239,hand,lima,,,abvd,arta1239,Arta
ilok1237-five,ilok1237,five,lima,,,abvd,ilok1237,Ilokano
ilok1237-hand,ilok1237,hand,ima,,,abvd,ilok1237,Ilokano
aben1249-five,aben1249,five,lima,,,abvd,aben1249,Ayta Abellen
aben1249-hand,aben1249,hand,gamɨt,,,abvd,aben1249,Ayta Abellen
boto1242-five,boto1242,five,lima,,,abvd,boto1242,Botolan Sambal
boto1242-hand,boto1242,hand,ga'mɨt,,,abvd,boto1242,"Sambal, Botolan"
amba1267-five,amba1267,five,lima,,,chan2019,aben1249,"Ambala Ayta, Philippines"
amba1267-hand,amba1267,hand,gamɨt,,,abvd,amba1267,Ayta Ambala
bata1297-five,bata1297,five,lima,,,barlowpacific,bata1297,"Magbikin (Ayta near Mariveles, Bataan)"
maga1263-five,maga1263,five,lima,,,abvd,maga1263,Ayta Mag-antsi
maga1263-hand,maga1263,hand,gamɨt,,,abvd,maga1263,Ayta Mag-anchi
magi1241-five,magi1241,five,limaʔ,,,abvd,magi1241,Ayta Mag-indi
magi1241-hand,magi1241,hand,gamɨt,,,abvd,magi1241,Ayta Mag-indi
boli1256-five,boli1256,five,lima,,,abvd,boli1256,Bolinao
boli1256-hand,boli1256,hand,gamɨt,,,abvd,boli1256,Bolinao
tina1248-five,tina1248,five,lima,,,abvd,tina1248,Sambal
tina1248-hand,tina1248,hand,gamot,,,abvd,tina1248,Sambal
pamp1243-five,pamp1243,five,lima,,,abvd,pamp1243,Kapampangan
pamp1243-hand,pamp1243,hand,gámat,,,abvd,pamp1243,Kapampangan
remo1247-five,remo1247,five,limá,,,abvd,remo1247,Sinauna
remo1247-hand,remo1247,hand,alíma,,,abvd,remo1247,Sinauna
kasi1256-five,kasi1256,five,lima,,,barlowpacific,kasi1256,Kasiguranin (Casiguran Dialect)
taga1270-five,taga1270,five,lima,,,abvd,taga1270,Tagalog (Anthony dela Paz)
taga1270-hand,taga1270,hand,kamay,,,abvd,taga1270,Marinduque Tagalog
fili1244-five,fili1244,five,lima,,,barlowpacific,fili1244,Filipino (Tagalog)
alab1246-five,alab1246,five,lima,,,chan2019,alab1246,"Lopez Agta, Philippines"
alab1246-hand,alab1246,hand,ʔaˈlimaʔ,,,abvd,alab1246,Inagta Alabat
cama1250-five,cama1250,five,lima,,,abvd,cama1250,Manide (Labo)
cama1250-hand,cama1250,hand,alima,,,abvd,cama1250,Manide (Labo)
cent2087-five,cent2087,five,lima,,,abvd,cent2087,Naga Bikol
cent2087-hand,cent2087,hand,kamut,,,abvd,cent2087,Bikol (Bisakol)
sout2912-five,sout2912,five,lima,,,barlowpacific,sout2912,Viracnon (Bikol)
mtir1236-five,mtir1236,five,limɑ́,,,barlowpacific,mtir1236,Rugnot (Itbɨg)
mtir1235-five,mtir1235,five,ˈlima,,,barlowpacific,mtir1235,San Ramon Agta
alba1269-five,alba1269,five,liˈma,,,abvd,buhi1243,Bikol (Buhinon)
alba1269-hand,alba1269,hand,kaˈmət,,,abvd,buhi1243,Bikol (Buhinon)
irig1242-five,irig1242,five,lima,,,barlowpacific,irig1242,Iriga Bicol
irig1242-hand,irig1242,hand,kamót,,,abvd,irig1242,Bikol (Rinconada)
nort2883-five,nort2883,five,liˈmɑ,,,barlowpacific,nort2883,"Bicol (Viga, Catanduanes)"
bant1288-five,bant1288,five,lima,,,abvd,bant1288,Bantoanon (Banton)
bant1288-hand,bant1288,hand,damút,,,abvd,bant1288,Bantoanon (Banton)
bant1293-five,bant1293,five,lima,,,chan2019,bant1293,"Bantayanon, Philippines"
capi1239-five,capi1239,five,limɑ,,,barlowpacific,capi1239,Capiznon
capi1239-hand,capi1239,hand,kamot,,,abvd,capi1239,Capisano
hili1240-five,hili1240,five,lima,,,abvd,hili1240,Ilonggo
hili1240-hand,hili1240,hand,kamot,,,abvd,hili1240,Hiligaynon
masb1237-five,masb1237,five,liˈmah,,,barlowpacific,masb1237,Bacon (Bicolano)
masb1238-five,masb1238,five,lima,,,abvd,masb1238,Masbatenyo
masb1238-hand,masb1238,hand,kamot,,,abvd,masb1238,Masbatenyo
poro1253-five,poro1253,five,lima,,,barlowpacific,poro1253,Porohanon
romb1245-five,romb1245,five,limá,,,abvd,romb1245,Romblon
romb1245-hand,romb1245,hand,kamót,,,abvd,romb1245,Romblon
wara1300-five,wara1300,five,limá,,,abvd,wara1300,Samar-Leyte
wara1300-hand,wara1300,hand,kamót,,,abvd,wara1300,Samar-Leyte
wara1299-five,wara1299,five,límɑ,,,barlowpacific,wara1299,Bicolano - Bulan
akla1240-five,akla1240,five,limáh | alas síŋkoh '5 o'clock',,,chan2019,akla1241,"Inakeanon (Aklanon), Philippines"
akla1240-hand,akla1240,hand,ʔalí:mah,,,abvd,akla1241,Aklanon - Bisayan
inon1237-five,inon1237,five,lima,,,chan2019,inon1237,"Inonhan, Philippines"
inon1237-hand,inon1237,hand,limá,,,abvd,disp1238,Inonhan (Dispoholnon)
kina1250-five,kina1250,five,lima,,,abvd,kina1250,Kinaray-a
kina1250-hand,kina1250,hand,lima,,,abvd,kina1250,Kinaray-a
sulo1237-five,sulo1237,five,limɑ,,,barlowpacific,sulo1237,"Sugudnon (collected in Villafont, Sibalom, Antique, Panay)"
cuyo1237-five,cuyo1237,five,li'ma,,,chan2019,cuyo1237,"Cuyonon, Philippines"
cuyo1237-hand,cuyo1237,hand,líma,,,abvd,cuyo1237,Cuyonon
calu1238-five,calu1238,five,li'ma,,,chan2019,calu1238,"Caluyanun, Philippines"
calu1238-hand,calu1238,hand,líma,,,abvd,semi1263,Caluyanun (Semirara)
rata1245-five,rata1245,five,limá,,,abvd,rata1245,Ratagnon
rata1245-hand,rata1245,hand,alíma,,,abvd,rata1245,Ratagnon
butu1244-five,butu1244,five,lima,,,abvd,butu1244,Butuanon
butu1244-hand,butu1244,hand,alima,,,abvd,butu1244,Butuanon
taus1251-five,taus1251,five,limah,,,abvd,taus1251,"Tausug, Jolo Dialect"
taus1251-hand,taus1251,hand,limah,,,abvd,taus1251,"Tausug, Jolo Dialect"
