ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Number
basa1287,Basay,,25.0046,121.857,basa1287,,1
keta1243,Ketangalan,,25.0257,121.425,keta1243,,2
kava1241,Kavalan,,24.6947,121.645,kava1241,,3
saki1247,Sakizaya,,24.026316,121.531394,saki1247,,4
amis1246,Amis,,23.0917,121.348,amis1246,,5
sira1267,Sirayaic,,22.9777,120.315,sira1267,,6
kulo1238,Kulon,,25.00238,121.32473,kulo1238,,7
sais1237,Saisiyat,,24.6043,121.067,sais1237,,8
kulo1237,Pazeh-Kahabu,,23.7562,120.976,kulo1237,,9
atay1247,Atayal,,24.5209,121.388,atay1247,,10
taro1264,Seediq,,23.9032,121.358,taro1264,,11
papo1239,Papora-Hoanya,,24.324,120.577,papo1239,,12
babu1240,Babuza,,24.0017,120.585,babu1240,,13
thao1240,Thao,,23.8333,120.93,thao1240,,14
bunu1267,Bunun,,23.4116,121.025,bunu1267,,15
kana1286,Kanakanavu,,23.3235,120.887,kana1286,,16
saar1237,Saaroa,,23.2632,120.711,saar1237,,17
tsou1248,Tsou,,23.216,120.787,tsou1248,,18
ruka1240,Rukai,,22.7738,120.844,ruka1240,,19
puyu1239,Puyuma,,22.643,120.996,puyu1239,,20
paiw1248,Paiwan,,22.3271,120.806,paiw1248,,21
yami1254,Yami,,22.055,121.544,yami1254,,22
ivat1242,Itbayat,,20.77,121.85,ivat1242,,23
ibat1238,Ibatan,,18.9398,121.909,ibat1238,,24
isna1241,Isnag,,18.2139,121.16,isna1241,,25
fair1238,Faire Atta,,17.9808,121.436,fair1238,,26
pamp1244,Pamplona Atta,,18.4738,121.3,pamp1244,,27
pudt1235,Pudtol Atta,,18.2112,121.379,pudt1235,,28
mala1534,Malaweg,,17.844833,121.391322,mala1534,,29
adas1235,Adasen,,17.8187,120.905,adas1235,,30
iban1267,Ibanag,,17.4201,121.891,iban1267,,31
gada1258,Ga'dang,,17.2238,121.455,gada1258,,32
gadd1244,Gaddang,,16.5468,121.177,gadd1244,,33
cent2084,Central Cagayan Agta,,17.9571,121.857,cent2084,,34
itaw1240,Itawit,,17.7329,121.58,itaw1240,,35
yoga1237,Yogad,,16.7015,121.718,yoga1237,,36
dica1235,Dicamay Agta,,17.8846,121.606,dica1235,,37
dupa1235,Dupaninan Agta,,17.3748,122.188,dupa1235,,38
casi1235,Casiguran-Nagtipunan Agta,,16.2176,121.878,casi1235,,39
agta1234,Agta-Pahanan,,17.0538,122.2802,agta1234,,40
para1306,Paranan,,17.0,122.372,para1306,,41
bino1237,Binongan Itneg,,17.5972,120.876,bino1237,,42
inla1260,Inlaod Itneg,,17.61752,120.65389,inla1260,,43
lubu1243,Lubuagan Kalinga,,17.3879,121.0365,lubu1243,,44
sout2908,Bangad,,17.2936,121.068,sout2908,,45
butb1235,Butbut Kalinga,,17.2239,121.091,butb1235,,46
madu1248,Madukayang Kalinga,,17.1794,121.236,madu1248,,47
lowe1412,Tanudan Kalinga,,17.3441,121.311,lowe1412,,48
masa1307,Masadiit Itneg,,17.4501,120.829,masa1307,,49
moya1235,Moyadan Itneg,,17.4232,120.702,moya1235,,50
limo1248,Limos Kalinga,,17.6081,121.381,limo1248,,51
bana1288,Banao Itneg,,17.5643,121.05,bana1288,,52
maba1279,Mabaka Valley Kalinga,,17.6683,121.073,maba1279,,53
bala1310,Balangao,,17.0994,121.272,bala1310,,54
cent2292,Central Bontoc,,17.08,120.92,cent2292,,55
fina1242,Eastern-Southern Bontok,,17.0319,121.11,fina1242,,56
kank1243,Kankanaey,,16.8548,120.689,kank1243,,57
maen1235,Maeng Itneg,,17.2453,120.718,maen1235,,58
nort2877,Northern Kankanay,,17.1057,120.786,nort2877,,59
amga1235,Amganad Ifugao,,16.9016,121.042,amga1235,,60
bata1298,Batad Ifugao,,16.8266,121.23,bata1298,,61
mayo1262,Mayoyao Ifugao,,16.9984,121.29,mayo1262,,62
tuwa1243,Tuwali Ifugao,,16.6646,121.113,tuwa1243,,63
isin1239,Isinai,,16.3299,121.12,isin1239,,64
ilon1239,Ilongot,,16.3785,121.547,ilon1239,,65
iwak1237,I-Wak,,16.30448,120.78633,iwak1237,,66
ibal1244,Ibaloi,,16.4263,120.695,ibal1244,,67
