ID,Language_ID,Parameter_ID,Value,Code_ID,Comment
colex-basa1287,basa1287,colex,full colexification,colex-fullcolexification,
repl_hand-basa1287,basa1287,repl_hand,no,repl_hand-no,
repl_five-basa1287,basa1287,repl_five,no,repl_five-no,
colex-keta1243,keta1243,colex,unknown,colex-unknown,
repl_hand-keta1243,keta1243,repl_hand,unknown,repl_hand-unknown,
repl_five-keta1243,keta1243,repl_five,no,repl_five-no,
colex-kava1241,kava1241,colex,full colexification,colex-fullcolexification,
repl_hand-kava1241,kava1241,repl_hand,no,repl_hand-no,
repl_five-kava1241,kava1241,repl_five,no,repl_five-no,
colex-saki1247,saki1247,colex,unknown,colex-unknown,
repl_hand-saki1247,saki1247,repl_hand,unknown,repl_hand-unknown,
repl_five-saki1247,saki1247,repl_five,no,repl_five-no,
colex-amis1246,amis1246,colex,partial colexification,colex-partialcolexification,
repl_hand-amis1246,amis1246,repl_hand,no,repl_hand-no,
repl_five-amis1246,amis1246,repl_five,no,repl_five-no,
colex-sira1267,sira1267,colex,full colexification,colex-fullcolexification,
repl_hand-sira1267,sira1267,repl_hand,no,repl_hand-no,
repl_five-sira1267,sira1267,repl_five,no,repl_five-no,
colex-kulo1238,kulo1238,colex,unknown,colex-unknown,
repl_hand-kulo1238,kulo1238,repl_hand,unknown,repl_hand-unknown,
repl_five-kulo1238,kulo1238,repl_five,unknown,repl_five-unknown,
colex-sais1237,sais1237,colex,lexically distinct,colex-lexicallydistinct,
dist-sais1237,sais1237,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-sais1237,sais1237,repl_hand,no,repl_hand-no,
repl_five-sais1237,sais1237,repl_five,yes,repl_five-yes,
five_replacement-sais1237,sais1237,five_replacement,*RaCeb ?,five_replacement-unclear,
colex-kulo1237,kulo1237,colex,lexically distinct,colex-lexicallydistinct,
dist-kulo1237,kulo1237,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-kulo1237,kulo1237,repl_hand,no,repl_hand-no,
repl_five-kulo1237,kulo1237,repl_five,yes,repl_five-yes,
five_replacement-kulo1237,kulo1237,five_replacement,*RaCeb ?,five_replacement-unclear,
colex-atay1247,atay1247,colex,lexically distinct,colex-lexicallydistinct,
dist-atay1247,atay1247,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-atay1247,atay1247,repl_hand,yes,repl_hand-yes,
repl_five-atay1247,atay1247,repl_five,no,repl_five-no,
hand_replacement-atay1247,atay1247,hand_replacement,PAN *qabaRa ‘shoulder’ ?,hand_replacement-partofthearm,
colex-taro1264,taro1264,colex,lexically distinct,colex-lexicallydistinct,
dist-taro1264,taro1264,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-taro1264,taro1264,repl_hand,yes,repl_hand-yes,
repl_five-taro1264,taro1264,repl_five,no,repl_five-no,
hand_replacement-taro1264,taro1264,hand_replacement,PAN *qabaRa ‘shoulder’ ?,hand_replacement-partofthearm,
colex-papo1239,papo1239,colex,full colexification,colex-fullcolexification,
repl_hand-papo1239,papo1239,repl_hand,no,repl_hand-no,
repl_five-papo1239,papo1239,repl_five,no,repl_five-no,
colex-babu1240,babu1240,colex,lexically distinct,colex-lexicallydistinct,
dist-babu1240,babu1240,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-babu1240,babu1240,repl_hand,no,repl_hand-no,
repl_five-babu1240,babu1240,repl_five,yes,repl_five-yes,
five_replacement-babu1240,babu1240,five_replacement,*RaCeb ?,five_replacement-unclear,
colex-thao1240,thao1240,colex,full colexification,colex-fullcolexification,
repl_hand-thao1240,thao1240,repl_hand,no,repl_hand-no,
repl_five-thao1240,thao1240,repl_five,no,repl_five-no,
colex-bunu1267,bunu1267,colex,full colexification,colex-fullcolexification,
repl_hand-bunu1267,bunu1267,repl_hand,no,repl_hand-no,
repl_five-bunu1267,bunu1267,repl_five,no,repl_five-no,
colex-kana1286,kana1286,colex,lexically distinct,colex-lexicallydistinct,
dist-kana1286,kana1286,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-kana1286,kana1286,repl_hand,yes,repl_hand-yes,
repl_five-kana1286,kana1286,repl_five,no,repl_five-no,
